Date,Open,High,Low,Close,Adj Close,Volume
2006/3/7,4867.799805,4876.899902,4844.799805,4873,4873,0
2006/3/8,4869.100098,4897.799805,4852.600098,4894.399902,4894.399902,0
2006/3/9,4892.299805,4900.799805,4886,4888.100098,4888.100098,0
2006/3/12,4888.799805,4951.299805,4888.799805,4951.299805,4951.299805,0
2006/3/13,4950.299805,4961.299805,4932.200195,4932.200195,4932.200195,0
2006/3/14,4944.399902,4963.399902,4937,4946.299805,4946.299805,0
2006/3/15,4968.899902,4988.299805,4965.799805,4977.899902,4977.899902,0
2006/3/16,4986.600098,4997.799805,4970,4971.700195,4971.700195,0
2006/3/19,4980.899902,5005.899902,4980.899902,5000.399902,5000.399902,0
2006/3/20,4995.700195,5003.100098,4985,4991.299805,4991.299805,0
2006/3/21,4984.299805,5031.100098,4977.600098,5013.399902,5013.399902,0
2006/3/22,5018.600098,5042.100098,5018.600098,5035.299805,5035.299805,0
2006/3/23,5035.100098,5051.899902,5032,5040.100098,5040.100098,0
2006/3/26,5049.399902,5088.100098,5049.399902,5088.100098,5088.100098,0
2006/3/27,5085.899902,5104.5,5070.100098,5085.799805,5085.799805,0
2006/3/28,5079,5098.299805,5064.200195,5090.5,5090.5,0
2006/3/29,5091.5,5121.600098,5091.5,5115,5115,0
2006/3/30,5128.100098,5138.5,5108.5,5129.700195,5129.700195,0
2006/4/3,5127.600098,5180.5,5122.100098,5180.5,5180.5,0
2006/4/4,5194.299805,5217.5,5162.5,5162.5,5162.5,0
2006/4/5,5165.600098,5207,5158.899902,5207,5207,0
2006/4/6,5215.799805,5248.799805,5215.799805,5238.899902,5238.899902,0
2006/4/7,5239.700195,5242.5,5224.299805,5232.899902,5232.899902,0
2006/4/10,5227.600098,5227.600098,5180.399902,5192.299805,5192.299805,0
2006/4/11,5192.5,5239.799805,5192.5,5233.5,5233.5,0
2006/4/12,5220.799805,5221.299805,5173.799805,5183.700195,5183.700195,0
2006/4/13,5183.799805,5206.700195,5158.899902,5175.700195,5175.700195,0
2006/4/18,5188.899902,5250,5188.600098,5248.600098,5248.600098,0
2006/4/19,5270.100098,5301.799805,5270.100098,5283.899902,5283.899902,0
2006/4/20,5282.5,5285.899902,5243.899902,5276.899902,5276.899902,0
2006/4/21,5277.100098,5277.100098,5241,5250.100098,5250.100098,0
